TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
SHEN-ANSP7T,Pizza Hub,9436 King George Blvd,Surrey,Restaurant,49.17441007,-122.8455239
GEDS-6U4THW,Pizza Hut #31104,13786 104 Ave,Surrey,Restaurant,49.19140493,-122.8403703
GEDS-6U4TBQ,Pizza Hut #31106,1738 152 St,Surrey,Restaurant,49.0336339,-122.8010486
GEDS-6U4QJY,Pizza Hut #31122,15951 Fraser Hwy,Surrey,Restaurant,49.15815596,-122.7802487
GEDS-6U4Q7U,Pizza Hut #31123,13753 72 Ave,Surrey,Restaurant,49.13377078,-122.8405811
GEDS-6U4Q4B,Pizza Hut #31124,10160 152 St,Surrey,Restaurant,49.18699498,-122.8005135
SHEN-AGKNPK,Pizza Hut #31152,12477 88 Ave,Surrey,Restaurant,49.16395195,-122.8770559
HCAR-B84R8K,Pizza Hut #31156,15133 56 Ave,Surrey,Restaurant,49.10516994,-122.8057861
SWOD-AJP25M,Pizza Hut #R39801,2711 192 St,Surrey,Restaurant,49.05150946,-122.6918208
GEDS-82BRGL,Pizza Inn,19390 68 Ave,Surrey,Restaurant,49.12623835,-122.6858235
JDSO-ACHTG3,Pizza Knight,19161 Fraser Hwy,Surrey,Restaurant,49.11961383,-122.6918165
SPLH-A9TUJR,Pizza Nation,13980 108 Ave,Surrey,Restaurant,49.19866862,-122.8345977
SHEN-9PQPQM,Pizza Pit,15989 108 Ave,Surrey,Restaurant,49.19896015,-122.7792982
HCAR-B83S78,Pizza Pizza #551,2370 152 St,Surrey,Restaurant,49.04507501,-122.8009586
NDAA-9C5SN9,Pizza Plus 96,12050 96 Ave,Surrey,Restaurant,49.17699844,-122.8874688
SDFO-8P6URP,Pizza Point,13651 100 Ave,Surrey,Restaurant,49.18443069,-122.8439126
GEDS-7QVQDQ,Planet India Restaurant,13775 72 Ave,Surrey,Restaurant,49.13379072,-122.839071
GEDS-7AGRER,Polonia Bakery & Deli (Surrey),14641 108 Ave,Surrey,Restaurant,49.19890626,-122.8165809
NDAA-8RKSYR,Polonia Sausage Deli,14045 104 Ave,Surrey,Restaurant,49.19169103,-122.8329255
NDAA-AC3N6U,Pop Up Soup Kitchen,13483 72 Ave,Surrey,Restaurant,49.13375295,-122.8488885
SPLH-AV62J6,Popeye's Supplements (Surrey),16030 24 Ave,Surrey,Restaurant,49.04521951,-122.7779787
HCAR-BCNQ6T,Popeyes Louisiana Kitchen (Surrey),14380 64 Ave,Surrey,Restaurant,49.11891548,-122.8237849
GEDS-7QXLV4,Popular Fish House,9532 120 St,Surrey,Restaurant,49.17628345,-122.8898588
A018392    ,Port Kells Cafe,9531 192 St,Surrey,Restaurant,49.17562717,-122.6908387
KSMH-ASMT2M,Port Kells Nurseries,18730 88 Ave,Surrey,Restaurant,49.16254018,-122.7035647
SHEN-AP5M2Q,Porto Fino Express,14016 32 Ave,Surrey,Restaurant,49.06010392,-122.8334671
A014274    ,Porto Fino Express (Surrey),6350 120 St,Surrey,Restaurant,49.11815677,-122.8900634
HCAR-B3WQT7,Potemia,10277 City Pky,Surrey,Restaurant,49.18955259,-122.8478886
GEDS-5ZHT3D,Prabu Sweets,7035 128 St,Surrey,Restaurant,49.1303486,-122.8681502
HCAR-AZXSZK,Prado Cafe,13483 103rd Ave,Surrey,Restaurant,49.19029297,-122.8481079
NDAA-8QSTSA,Prairie Cafe,15280 Fraser Hwy,Surrey,Restaurant,49.1650491,-122.7991749
GEDS-7V3QCJ,Price Pro - Deli,6899 King George Blvd,Surrey,Restaurant,49.12803784,-122.8459609
GEDS-7V3QGQ,Price Pro - Snack Bar,6899 King George Blvd,Surrey,Restaurant,49.12803784,-122.8459609
A017695    ,Princess Margaret Secondary School Cafeteria,12870 72 Ave,Surrey,Restaurant,49.13358041,-122.8653874
ACAK-8XGT5P,PSI Sushi & Roll,10245 King George Blvd,Surrey,Restaurant,49.18879513,-122.8455269
GEDS-5ZZMJS,Puccinos,7495 132 St,Surrey,Restaurant,49.13903649,-122.8569749
NDAA-A9KPFF,Punjab Banquet Hall,8166 128 St,Surrey,Restaurant,49.15130553,-122.8673937
SYOG-5M56PQ,Punjab Sweet House,12818 72 Ave,Surrey,Restaurant,49.13371285,-122.8673791
NDAA-9CDPEY,Punjabi Masihi Church,14488 72 Ave,Surrey,Restaurant,49.13354678,-122.8207122
HCAR-BCLQZF,Punje Spice Restaurant,2828 152 St,Surrey,Restaurant,49.05326246,-122.8009054
A019658    ,Purdy's Chocolates (South Surrey),1711 152 St,Surrey,Restaurant,49.0331143,-122.801669
MARO-B37PB7,Quesada #148,2711 192 St,Surrey,Restaurant,49.05150946,-122.6918208
MARO-AWURFL,Quesada - Burritos & Tacos,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.8458478
SWOD-A8QVAV,Quesada - Burritos & Tacos,13737 96 Ave,Surrey,Restaurant,49.17720977,-122.842751
SHEN-AKQNEW,Quizno's #674,15940 Fraser Hwy,Surrey,Restaurant,49.15704507,-122.7809649
SWOD-AHYRYX,Quizno's Classic Subs #671,12077 72 Ave,Surrey,Restaurant,49.13428679,-122.8883716
